,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,CL,NG,PM,NU,EM,RE,PA,CL_prop,NG_prop,PM_prop,NU_prop,RE_prop,Entropy,BalanceDegree,DominanceDegree,CLPRB,HYTCB,NGMPB,PAPRB,GDPRX,TETGR,CLTCD,NGTCD,PATCD,NUETD,TPOPP,TEACB,TECCB,TEICB,TEEIB,TERCB,Precipitation,Temperature,TETCV,RETCD,ELISB,TE,TETCB,ESTCD,GrowthRate
0,0,0,0,0,0,0,0,0,209.57935,140274.585,121479.9737,0.0,0.0,36181.453369999996,121479.9737,0.0007400927636121563,0.4953551257659608,0.4289852481132567,0.0,0.12776846486119772,0.4252892955908414,0.7063902297390359,0.293609770260964,132.48678,32168.50488,0.0,423.4,0.0,0.0,0.0,0.0,0.0,0.0,1321.0,116694.7553,67140.96273,50409.18846000001,87694.71261,48883.80586,8.74,67.0,0.0,0.0,-14965.75194,283179.83948,283128.7124,0.0,0.0
1,1,1,1,1,1,1,1,1,210.66932000000003,159092.955,126909.3727,0.0,0.0,35082.71035,126909.3727,0.0006906767509099883,0.5215842783945425,0.4160708032686523,0.0,0.11501823045545605,0.4161044860964968,0.6911345913863103,0.3088654086136897,0.0,31245.74745,0.0,423.4,0.0,0.0,0.0,0.0,0.0,0.0,1407.0,121244.9018,50858.741780000004,81589.56164,94246.28047,51276.94309,10.89,67.1,0.0,0.0,-16277.01415,305018.69321999996,304970.1483,0.0,0.0
2,2,2,2,2,2,2,2,2,6290.98311,163460.655,135914.9555,0.0,0.0,34533.37394,135914.9555,0.01934762888824719,0.5027157179523579,0.4180001874741373,0.0,0.10620580147292537,0.4450765927876825,0.7392562189790725,0.26074378102092755,0.0,30861.245160000002,243.57,226.2,0.0,0.0,0.0,0.0,0.0,0.0,1471.0,129741.3228,48974.52925,97960.76465,99810.33829,48408.62495,8.58,68.2,0.0,0.0,-15044.71745,325155.2501,325085.2416,0.0,0.0
3,3,3,3,3,3,3,3,3,8432.01905,169532.724,144419.0982,0.0,0.0,34861.20332,144419.0982,0.024191087188168696,0.4863818360955599,0.4143319619507853,0.0,0.10001524000335316,0.4499030596631221,0.7472728069353551,0.2527271930646449,0.0,30833.673010000002,1412.7060000000001,394.4,0.0,0.0,0.0,0.0,0.0,0.0,1521.0,136746.0935,53418.13671,105546.5352,99652.526,52769.80682,9.97,68.6,0.0,0.0,-8686.13176,348558.91281,348480.5723,0.0,0.0
4,4,4,4,4,4,4,4,4,9102.72547,174623.0,147656.9144,0.0,0.0,34270.82091,147656.9144,0.02460653910353041,0.4720418837234021,0.3991470082300793,0.0,0.09264107740162382,0.4484085666138393,0.744790507711342,0.255209492288658,0.0,30181.71918,2144.475,371.2,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,143725.124,65227.17106,100320.5202,92265.87419,60571.82159,17.99,66.0,0.0,0.0,4277.6958,369931.15658,369844.6368,0.0,0.0
5,5,5,5,5,5,5,5,5,7030.44355,166063.384,145912.6723,0.0,0.0,50095.028210000004,145912.6723,0.01872359790273461,0.4422628538683613,0.38859713268854623,0.0,0.13341393874504373,0.4652790914520402,0.7728118429290994,0.2271881570709005,0.0,46399.81125,3289.2540000000013,562.6,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,139447.437,58357.70235,119134.47300000001,93066.37729,58448.68102,11.53,67.1,0.0,0.0,6384.18716,375485.71521999995,375388.2934,0.0,0.0
6,6,6,6,6,6,6,6,6,7372.745140000001,174447.576,159353.1301,0.0,0.0,58059.82217000001,159353.1301,0.0182631032036972,0.4321258939004651,0.3947352859193619,0.0,0.14382058570371475,0.4696862272838316,0.7801319370979056,0.2198680629020944,0.0,54380.453989999995,3347.499000000001,765.6,0.0,0.0,0.0,0.0,0.0,0.0,1614.0,148696.97400000002,59738.922629999994,132001.1828,106451.0719,63155.29896,14.41,67.4,0.0,0.0,4462.91435,403696.18776,403592.3784,0.0,0.0
7,7,7,7,7,7,7,7,7,7183.65905,169085.3661,167968.5108,0.0,0.0,56422.66903,167968.5108,0.017325753751951098,0.4078049077380837,0.4051112442763745,0.0,0.13608180216203572,0.4662255043211947,0.7743838006788031,0.22561619932119706,22.081129999999998,52242.53798,1329.045,16959.2,0.0,0.0,0.0,0.0,0.0,0.0,1646.0,159735.1847,69119.15282999999,119086.6269,101931.2556,66565.87181,12.93,68.1,0.0,0.0,13962.97118,414623.17616,414506.8362,0.0,0.0
8,8,8,8,8,8,8,8,8,8137.1679,189964.9013,188614.2228,0.0,0.0,63456.3526,188614.2228,0.017833837882972617,0.4163368993822893,0.41337668254800014,0.0,0.13907422322122026,0.4673720808581177,0.7762882230842745,0.22371177691572552,0.0,59309.14887000001,932.9789999999999,19546.0,0.0,0.0,0.0,0.0,0.0,0.0,1682.0,183621.285,71949.42142,128496.4266,117937.0257,72081.0764,8.94,68.1,0.0,0.0,6104.23497,456276.87957,456148.2095,0.0,0.0
9,9,9,9,9,9,9,9,9,8381.44702,210332.0103,201346.9758,0.0,0.0,67840.06237,201346.9758,0.016819102954964804,0.4220745806206168,0.404044254836918,0.0,0.13613508392400048,0.4648712876280221,0.7721344954389953,0.22786550456100474,0.0,63450.93827000001,1203.024,14111.4,0.0,0.0,0.0,0.0,0.0,0.0,1737.0,192908.5695,79625.34837,143598.8877,133350.8227,82045.8504,9.94,68.0,0.0,0.0,10428.52018,498329.01567,498178.656,0.0,0.0
