,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,CL,NG,PM,NU,EM,RE,PA,CL_prop,NG_prop,PM_prop,NU_prop,RE_prop,Entropy,BalanceDegree,DominanceDegree,CLPRB,HYTCB,NGMPB,PAPRB,GDPRX,TETGR,CLTCD,NGTCD,PATCD,NUETD,TPOPP,TEACB,TECCB,TEICB,TEEIB,TERCB,Precipitation,Temperature,TETCV,RETCD,ELISB,TE,TETCB,ESTCD,GrowthRate
0,0,0,0,0,0,0,0,0,0,209.57935,140274.585,121479.9737,0.0,0.0,36181.45337,121479.9737,0.0007400927636121563,0.4953551257659608,0.4289852481132567,0.0,0.12776846486119772,0.4252892955908414,0.7063902297390359,0.293609770260964,-1.6180040842233414,-1.5347351159586238,-0.8987501489846549,-0.4798552021448177,-1.0633048569217562,-1.2782596930908618,-1.4687507075192674,-1.2790613945818983,-1.21812757024167,-0.9577026943211264,-1.3343792237716183,-1.5387136836687831,-1.1957886545458016,-2.935411560780122,-1.2905927184161752,-1.3384580458579183,-0.838234628908611,-1.296292345953467,0.0,0.5739437194091325,-14965.75194,283179.83948,283128.7124,-1.60562075287506,-0.7817405314759368
1,1,1,1,1,1,1,1,1,1,210.66932000000003,159092.955,126909.3727,0.0,0.0,35082.71035,126909.3727,0.0006906767509099883,0.5215842783945425,0.4160708032686523,0.0,0.11501823045545605,0.4161044860964968,0.6911345913863103,0.3088654086136897,-1.6192098258378895,-1.5659616591794032,-0.8987501489846549,-0.4798552021448177,-1.0633048569217562,-1.2782596930908618,-1.4687507075192674,-1.2790613945818983,-1.21812757024167,-0.9577026943211264,-1.2800157254091094,-1.5026956938546419,-1.3620048077689424,-2.267025905363387,-1.270843125082198,-1.3168871275918945,-0.1565110503969174,-1.2268976807525356,0.0,0.5739437194091325,-16277.01415,305018.69322,304970.1483,-1.60562075287506,-0.7817405314759368
2,2,2,2,2,2,2,2,2,2,6290.98311,163460.655,135914.9555,0.0,0.0,34533.37394,135914.9555,0.01934762888824719,0.5027157179523579,0.4180001874741373,0.0,0.10620580147292537,0.4450765927876825,0.7392562189790725,0.26074378102092755,-1.6192098258378895,-1.5789733965946995,-0.5689727204884185,-0.5270386045189395,-1.0633048569217562,-1.2782596930908618,-1.4687507075192674,-1.2790613945818983,-1.21812757024167,-0.9577026943211264,-1.2395591684881724,-1.435439836260901,-1.381239687307378,-1.9160911301241361,-1.2540703644881048,-1.3427411636176068,-0.8889675463792488,-0.463556363542242,0.0,0.5739437194091325,-15044.71745,325155.2501,325085.2416,-1.60562075287506,-0.7817405314759368
3,3,3,3,3,3,3,3,3,3,8432.01905,169532.724,144419.0982,0.0,0.0,34861.20332,144419.0982,0.024191087188168696,0.4863818360955599,0.4143319619507853,0.0,0.10001524000335316,0.4499030596631221,0.7472728069353551,0.2527271930646449,-1.6192098258378895,-1.579906451052646,1.0139589362935157,-0.4867939377880709,-1.0633048569217562,-1.2782596930908618,-1.4687507075192674,-1.2790613945818983,-1.21812757024167,-0.9577026943211264,-1.2079524833936903,-1.3799915644914107,-1.33587736599366,-1.7534817799526987,-1.2545460870353187,-1.303430965906532,-0.4482253258530839,-0.18597770273850694,0.0,0.5739437194091325,-8686.13176,348558.91281,348480.5723,-1.60562075287506,-0.7817405314759368
4,4,4,4,4,4,4,4,4,4,9102.72547,174623.0,147656.9144,0.0,0.0,34270.82091,147656.9144,0.02460653910353041,0.4720418837234021,0.3991470082300793,0.0,0.09264107740162382,0.4484085666138393,0.744790507711342,0.255209492288658,-1.6192098258378895,-1.6019688737312123,2.00472503668873,-0.4923449263026735,-1.0633048569217562,-1.2782596930908618,-1.4687507075192674,-1.2790613945818983,-1.21812757024167,-0.9577026943211264,-1.185827803827553,-1.324747046658505,-1.2153254911011298,-1.8655071697973973,-1.2768130271730929,-1.2331062804667512,2.094762162362628,-1.9902389979628194,0.0,0.5739437194091325,4277.6958,369931.15658,369844.6368,-1.60562075287506,-0.7817405314759368
5,5,5,5,5,5,5,5,5,5,7030.44355,166063.384,145912.6723,0.0,0.0,50095.02821,145912.6723,0.01872359790273461,0.4422628538683613,0.38859713268854623,0.0,0.13341393874504373,0.4652790914520402,0.7728118429290994,0.2271881570709005,-1.6192098258378895,-1.0531410490856465,3.5546789506210428,-0.44654927105720243,-1.0633048569217562,-1.2782596930908618,-1.4687507075192674,-1.2790613945818983,-1.21812757024167,-0.9577026943211264,-1.1681280601746429,-1.3586083051463549,-1.285452082993554,-1.462209361249247,-1.2743999237716748,-1.252243541434752,0.04642061948563285,-1.2268976807525356,0.0,0.5739437194091325,6384.18716,375485.71522,375388.2934,-1.60562075287506,-0.7817405314759368
6,6,6,6,6,6,6,6,6,6,7372.745140000001,174447.576,159353.1301,0.0,0.0,58059.82217000001,159353.1301,0.0182631032036972,0.4321258939004651,0.3947352859193619,0.0,0.14382058570371475,0.4696862272838316,0.7801319370979056,0.2198680629020944,-1.6192098258378895,-0.7830723643499315,3.633538770478838,-0.3979781215544301,-1.0633048569217562,-1.2782596930908618,-1.4687507075192674,-1.2790613945818983,-1.21812757024167,-0.9577026943211264,-1.1491640491179538,-1.2853909418259595,-1.271351972056576,-1.1863972594157073,-1.2340519824703426,-1.209819701455822,0.9596131339571109,-1.018713685149722,0.0,0.5739437194091325,4462.91435,403696.18776,403592.3784,-1.60562075287506,-0.7817405314759368
7,7,7,7,7,7,7,7,7,7,7183.65905,169085.3661,167968.5108,0.0,0.0,56422.66903,167968.5108,0.017325753751951098,0.4078049077380837,0.4051112442763745,0.0,0.13608180216203572,0.4662255043211947,0.7743838006788031,0.22561619932119706,-1.6190088689021316,-0.8554204425319312,0.9006875586795913,3.4766118616381525,-1.0633048569217562,-1.2782596930908618,-1.4687507075192674,-1.2790613945818983,-1.21812757024167,-0.9577026943211264,-1.1289357706574852,-1.1980148187585051,-1.1755944101748517,-1.4632349951222934,-1.2476768942131145,-1.179077967440147,0.4903336473537125,-0.5329510287431832,0.0,0.5739437194091325,13962.97118,414623.17616,414506.8362,-1.60562075287506,-0.7817405314759368
8,8,8,8,8,8,8,8,8,8,8137.1679,189964.9013,188614.2228,0.0,0.0,63456.3526,188614.2228,0.017833837882972617,0.4163368993822893,0.41337668254800014,0.0,0.13907422322122026,0.4673720808581177,0.7762882230842745,0.22371177691572552,-1.6192098258378895,-0.6162830233067996,0.3644407836465809,4.095547081016337,-1.0633048569217562,-1.2782596930908618,-1.4687507075192674,-1.2790613945818983,-1.21812757024167,-0.9577026943211264,-1.1061789573894583,-1.00893754019067,-1.1467017696031068,-1.2615255703018462,-1.1994277640465638,-1.1293658047024975,-0.7748184820703142,-0.5329510287431832,0.0,0.5739437194091325,6104.23497,456276.87957,456148.2095,-1.60562075287506,-0.7817405314759368
9,9,9,9,9,9,9,9,9,9,8381.44702,210332.0103,201346.9758,0.0,0.0,67840.06237,201346.9758,0.016819102954964804,0.4220745806206168,0.40404425483691797,0.0,0.13613508392400048,0.4648712876280221,0.7721344954389953,0.22786550456100474,-1.6192098258378895,-0.4761229319267003,0.7300635848054514,2.795228021470688,-1.0633048569217562,-1.2782596930908618,-1.4687507075192674,-1.2790613945818983,-1.21812757024167,-0.9577026943211264,-1.071411603785528,-0.935421375706288,-1.068342493312188,-0.9377876758752332,-1.152963127033329,-1.0395467492806751,-0.4577377478788288,-0.6023456939441145,0.0,0.5739437194091325,10428.52018,498329.01567,498178.656,-1.60562075287506,-0.7817405314759368
