,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,CL,NG,PM,NU,EM,RE,PA,CLPRB,HYTCB,NGMPB,PAPRB,GDPRX,TETGR,CLTCD,NGTCD,PATCD,NUETD,TPOPP,TEACB,TECCB,TEICB,TEEIB,TERCB,Precipitation,Temperature,TETCV,RETCD,ELISB,TE,ESTCD,GrowthRate
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.48678,32168.50488,0.0,423.4,0.0,0.0,0.0,0.0,0.0,0.0,1321.0,116694.7553,67140.96273,50409.18846000001,87694.71261,48883.80586,8.74,67.0,0.0,,-14965.75194,-14965.75194,0.0,0.0
1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31245.74745,0.0,423.4,0.0,0.0,0.0,0.0,0.0,0.0,1407.0,121244.9018,50858.741780000004,81589.56164,94246.28047,51276.94309,10.89,67.1,0.0,,-16277.01415,-16277.01415,0.0,0.0
2,2,2,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30861.245160000002,243.57,226.2,0.0,0.0,0.0,0.0,0.0,0.0,1471.0,129741.3228,48974.52925,97960.76465,99810.33829,48408.62495,8.58,68.2,0.0,,-15044.71745,-15044.71745,0.0,0.0
3,3,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30833.673010000002,1412.7060000000001,394.4,0.0,0.0,0.0,0.0,0.0,0.0,1521.0,136746.0935,53418.13671,105546.5352,99652.526,52769.80682,9.97,68.6,0.0,,-8686.13176,-8686.13176,0.0,0.0
4,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30181.71918,2144.475,371.2,0.0,0.0,0.0,0.0,0.0,0.0,1556.0,143725.124,65227.17106,100320.5202,92265.87419,60571.82159,17.99,66.0,0.0,,4277.6958,4277.6958,0.0,0.0
5,5,5,5,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46399.81125,3289.2540000000013,562.6,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,139447.437,58357.70235,119134.47300000001,93066.37729,58448.68102,11.53,67.1,0.0,,6384.18716,6384.18716,0.0,0.0
6,6,6,6,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54380.453989999995,3347.499000000001,765.6,0.0,0.0,0.0,0.0,0.0,0.0,1614.0,148696.97400000002,59738.922629999994,132001.1828,106451.0719,63155.29896,14.41,67.4,0.0,,4462.91435,4462.91435,0.0,0.0
7,7,7,7,7,7,7,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.081129999999998,52242.53798,1329.045,16959.2,0.0,0.0,0.0,0.0,0.0,0.0,1646.0,159735.1847,69119.15282999999,119086.6269,101931.2556,66565.87181,12.93,68.1,0.0,,13962.97118,13962.97118,0.0,0.0
8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59309.14887000001,932.9789999999999,19546.0,0.0,0.0,0.0,0.0,0.0,0.0,1682.0,183621.285,71949.42142,128496.4266,117937.0257,72081.0764,8.94,68.1,0.0,,6104.23497,6104.23497,0.0,0.0
9,9,9,9,9,9,9,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63450.93827000001,1203.024,14111.4,0.0,0.0,0.0,0.0,0.0,0.0,1737.0,192908.5695,79625.34837,143598.8877,133350.8227,82045.8504,9.94,68.0,0.0,,10428.52018,10428.52018,0.0,0.0
