,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,CL,NG,PM,NU,EM,RE,PA,CL_prop,NG_prop,PM_prop,NU_prop,RE_prop,Entropy,BalanceDegree,DominanceDegree,CLPRB,HYTCB,NGMPB,PAPRB,GDPRX,TETGR,CLTCD,NGTCD,PATCD,NUETD,TPOPP,TEACB,TECCB,TEICB,TEEIB,TERCB,Precipitation,Temperature,TETCV,RETCD,ELISB,TE,TETCB,ESTCD,GrowthRate
0,0,0,0,0,0,0,0,0,0,35903.06676,1301826.105,1838667.342,0.51168,0.0,270161.0892,1838667.342,0.010397528355384449,0.3770088480463052,0.5324780735963056,1.4818253115943888e-07,0.07823865310046697,0.4126548041354651,0.5903755548529773,0.4096244451470227,0.0,187704.519,589695.1451,1771041.6,0.0,0.0,0.0,0.0,0.0,0.0,15870.0,1224484.508,436105.6422,1194552.508,672153.5658,596532.5164,7.03,65.4,0.0,0.0,6480.48577,3453038.60041,3451675.175,0.0,0.0
1,1,1,1,1,1,1,1,1,1,59106.44867000001,1400173.875,1894758.692,55.27264,0.0,248177.5248,1894758.692,0.016362141775007118,0.3876031121463602,0.5245165467649986,1.5300847746888147e-05,0.0687017396159177,0.41573473949229534,0.5947819461683758,0.4052180538316241,0.0,163670.0923,633797.9406,1737732.2,0.0,0.0,0.0,0.0,0.0,0.0,16497.0,1292748.835,488389.9512,1210011.008,720023.19,619740.0518,1.98,64.5,0.0,0.0,10118.880159999999,3612390.6932700006,3610889.845,0.0,0.0
2,2,2,2,2,2,2,2,2,2,39681.01509,1483423.065,1881335.98,83.84509,0.0,329045.7467,1881335.98,0.01064494705801022,0.3979474808227809,0.504692782178264,2.2492533069019892e-05,0.08827079008287893,0.4232874755177388,0.6055874685492941,0.39441253145070587,0.0,241087.4163,642889.4563,1720222.0,0.0,0.0,0.0,0.0,0.0,0.0,17072.0,1316840.694,514826.2558,1215917.389,759369.0141,678541.1551,5.66,63.8,0.0,0.0,-5884.1243,3727685.5275800005,3726125.494,0.0,0.0
3,3,3,3,3,3,3,3,3,3,46127.33651,1623369.503,1924058.273,2287.60522,0.0,360333.3104,1924058.273,0.011726721468872787,0.4127010888351734,0.4891436871162063,0.0005815664045519688,0.09160573071678713,0.43015546208799416,0.6154133359365214,0.3845866640634785,0.0,265551.1897,736625.8428,1745266.4,0.0,0.0,0.0,0.0,0.0,0.0,17668.0,1354293.259,532909.2865,1332444.616,827009.6521,712357.6928,6.88,63.4,0.0,0.0,-22652.35466,3933523.67347,3932004.855,0.0,0.0
4,4,4,4,4,4,4,4,4,4,53722.75475,1817240.67,2036424.07,4368.91659,0.0,331756.585,2036424.07,0.012704414373014266,0.4297430128929506,0.4815757372244618,0.0010331660574515952,0.07845415125173061,0.4243419480473293,0.6070960776785116,0.3929039223214884,0.0,231188.2433,756639.9389,1740052.2,0.0,0.0,0.0,0.0,0.0,0.0,18151.0,1421269.725,551543.1296,1462576.093,901743.7583,793199.6404,4.02,64.4,0.0,0.0,-14844.663219999999,4228668.33312,4228588.588,0.0,0.0
5,5,5,5,5,5,5,5,5,5,63692.80664,1813213.342,2098227.899,3192.781330000001,0.0,418517.8278,2098227.899,0.014494938029771656,0.4126433802108419,0.4775057808371526,0.0007265995951872209,0.09524450716395128,0.4381135614688506,0.626798802167531,0.37320119783246897,0.0,319052.1299,752461.6474,1835282.4,0.0,0.0,0.0,0.0,0.0,0.0,18585.0,1491528.523,577583.9457,1482778.806,958337.6077,842239.9675,6.8,63.8,0.0,0.0,-2703.30141,4394141.3553599985,4394131.242,0.0,0.0
6,6,6,6,6,6,6,6,6,6,51515.03837,1982304.88,2232322.3230000003,1895.46722,0.0,375877.0183,2232322.3230000003,0.011059613767644706,0.4255752695951507,0.4792507873127964,0.00040693234491773596,0.08069594390427164,0.4222167976378167,0.6040556748052418,0.3959443251947582,0.0,273246.5965,785759.2238,2002711.0,0.0,0.0,0.0,0.0,0.0,0.0,18858.0,1592767.7869999998,624040.7954,1570122.233,1039614.246,871011.084,4.62,65.2,0.0,0.0,14027.17346,4657941.90035,4657941.9,0.0,0.0
7,7,7,7,7,7,7,7,7,7,53948.98003,2048733.968,2264444.0130000003,6502.68025,0.0,473191.9968,2264444.0130000003,0.01111486180362759,0.4220912965185784,0.4665330512745726,0.0013397174940422785,0.0974895845684182,0.4367245360702984,0.6248115560912538,0.37518844390874617,0.0,368007.4733,776043.3003,2083470.2,0.0,0.0,0.0,0.0,0.0,0.0,19176.0,1654401.6519999998,644062.5892,1622795.634,1114372.795,932509.8783,7.05,65.1,0.0,0.0,6948.114809999999,4853769.752890001,4853769.7530000005,0.0,0.0
8,8,8,8,8,8,8,8,8,8,57010.63322,2187259.755,2418015.338,17003.40842,0.0,397365.9154,2418015.338,0.011114361093424958,0.4264115893674721,0.4713979494362823,0.003314855673845861,0.07746744809748235,0.42780472221076143,0.6120501875000361,0.3879498124999639,0.0,282560.503,814570.8625,2177876.8,0.0,0.0,0.0,0.0,0.0,0.0,19394.0,1779327.251,689534.7033,1712378.117,1155760.294,948216.5606,5.14,66.3,0.0,0.0,52801.58186000001,5129456.631900001,5129456.632,0.0,0.0
9,9,9,9,9,9,9,9,9,9,60030.64937000001,2189883.373,2472895.087,27127.08075,0.0,544918.0085,2472895.087,0.011175538325019834,0.4076771752283512,0.4603637326690766,0.005050082478685217,0.10144404819696244,0.4481837267609678,0.6412059515868874,0.3587940484131126,0.0,422243.4716,772179.4916,2176687.8,0.0,0.0,0.0,0.0,0.0,0.0,19711.0,1829879.997,718264.5077,1787255.919,1210838.985,1036211.004,7.0,66.3,0.0,0.0,76757.22842,5371611.42704,5371611.427,0.0,0.0
