,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,CL,NG,PM,NU,EM,RE,PA,CLPRB,HYTCB,NGMPB,PAPRB,GDPRX,TETGR,CLTCD,NGTCD,PATCD,NUETD,TPOPP,TEACB,TECCB,TEICB,TEEIB,TERCB,Precipitation,Temperature,TETCV,RETCD,ELISB,TE,ESTCD,GrowthRate
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187704.519,589695.1451,1771041.6,0.0,0.0,0.0,0.0,0.0,0.0,15870.0,1224484.508,436105.6422,1194552.508,672153.5658,596532.5164,7.03,65.4,0.0,,6480.48577,6480.48577,0.0,0.0
1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163670.0923,633797.9406,1737732.2,0.0,0.0,0.0,0.0,0.0,0.0,16497.0,1292748.835,488389.9512,1210011.008,720023.19,619740.0518,1.98,64.5,0.0,,10118.880159999999,10118.880159999999,0.0,0.0
2,2,2,2,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241087.4163,642889.4563,1720222.0,0.0,0.0,0.0,0.0,0.0,0.0,17072.0,1316840.694,514826.2558,1215917.389,759369.0141,678541.1551,5.66,63.8,0.0,,-5884.1243,-5884.1243,0.0,0.0
3,3,3,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265551.1897,736625.8428,1745266.4,0.0,0.0,0.0,0.0,0.0,0.0,17668.0,1354293.259,532909.2865,1332444.616,827009.6521,712357.6928,6.88,63.4,0.0,,-22652.35466,-22652.35466,0.0,0.0
4,4,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231188.2433,756639.9389,1740052.2,0.0,0.0,0.0,0.0,0.0,0.0,18151.0,1421269.725,551543.1296,1462576.093,901743.7583,793199.6404,4.02,64.4,0.0,,-14844.663219999999,-14844.663219999999,0.0,0.0
5,5,5,5,5,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319052.1299,752461.6474,1835282.4,0.0,0.0,0.0,0.0,0.0,0.0,18585.0,1491528.523,577583.9457,1482778.806,958337.6077,842239.9675,6.8,63.8,0.0,,-2703.30141,-2703.30141,0.0,0.0
6,6,6,6,6,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273246.5965,785759.2238,2002711.0,0.0,0.0,0.0,0.0,0.0,0.0,18858.0,1592767.7869999998,624040.7954,1570122.233,1039614.246,871011.084,4.62,65.2,0.0,,14027.17346,14027.17346,0.0,0.0
7,7,7,7,7,7,7,7,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368007.4733,776043.3003,2083470.2,0.0,0.0,0.0,0.0,0.0,0.0,19176.0,1654401.6519999998,644062.5892,1622795.634,1114372.795,932509.8783,7.05,65.1,0.0,,6948.114809999999,6948.114809999999,0.0,0.0
8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282560.503,814570.8625,2177876.8,0.0,0.0,0.0,0.0,0.0,0.0,19394.0,1779327.251,689534.7033,1712378.117,1155760.294,948216.5606,5.14,66.3,0.0,,52801.58186000001,52801.58186000001,0.0,0.0
9,9,9,9,9,9,9,9,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422243.4716,772179.4916,2176687.8,0.0,0.0,0.0,0.0,0.0,0.0,19711.0,1829879.997,718264.5077,1787255.919,1210838.985,1036211.004,7.0,66.3,0.0,,76757.22842,76757.22842,0.0,0.0
