,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,CL,NG,PM,NU,EM,RE,PA,CL_prop,NG_prop,PM_prop,NU_prop,RE_prop,Entropy,BalanceDegree,DominanceDegree,CLPRB,HYTCB,NGMPB,PAPRB,GDPRX,TETGR,CLTCD,NGTCD,PATCD,NUETD,TPOPP,TEACB,TECCB,TEICB,TEEIB,TERCB,Precipitation,Temperature,TETCV,RETCD,ELISB,TE,TETCB,ESTCD,GrowthRate
0,0,0,0,0,0,0,0,0,4064.49554,207301.185,107204.5834,0,0,7373.05583,107204.5834,0.012353328,0.630055958,0.325829717,0,0.022409123,0.345622836,0.574067104,0.425932896,5518.3762,745.4528,927135.5884,622804,0,0,0,0,0,0,954,91516.29852,23433.48173,170743.0278,37008.26113,43327.46783,8.12,57.1,0,0,3076.95611,329020.2759,329020.2759,0,0
1,1,1,1,1,1,1,1,1,3302.62315,218948.04,107688.0542,0,0,6936.51555,107688.0542,0.009693599,0.642638988,0.316077468,0,0.020359512,0.335462717,0.557191513,0.442808487,7707.02032,553.3314,916382.6315,652807.4,0,0,0,0,0,0,965,101810.6589,25821.80923,166280.4478,38756.07061,46788.54189,8.87,55.5,0,0,3826.22487,340701.4578,340701.4578,0,0
2,2,2,2,2,2,2,2,2,2450.69669,247089.69,115309.1271,0,0,6791.46314,115309.1271,0.006506093,0.655971998,0.306121872,0,0.018029929,0.323168141,0.536770664,0.463229336,12664.20572,672.22786,933731.7256,634102.4,0,0,0,0,0,0,979,108763.3341,29235.98293,190998.4069,40731.08732,47679.46788,5.39,56.3,0,0,5036.21492,376677.1919,376677.1919,0,0
3,3,3,3,3,3,3,3,3,15765.31177,239910.808,118502.6722,0,0,6468.79948,118502.6722,0.042487433,0.646558384,0.319364087,0,0.017433381,0.369706728,0.614069584,0.385930416,36383.8702,456.59592,938100.9122,637657.8,0,0,0,0,0,0,989,111938.921,28114.77252,179465.4782,58487.43034,51539.05606,7.47,57.3,0,0,-9589.36366,371058.2278,371058.2277,0,0
4,4,4,4,4,4,4,4,4,31270.83576,226697.344,126464.9774,0,0,6299.60702,126464.9774,0.085317839,0.618510091,0.34504094,0,0.017187544,0.410041379,0.681063988,0.318936012,55539.18284,98.72989,1019732.171,660405.4,0,0,0,0,0,0,1006,109121.6739,32672.22118,173247.3013,76813.24524,51480.46151,7.44,54.5,0,0,-24211.1063,366521.6579,366521.6578,0,0
5,5,5,5,5,5,5,5,5,44277.1291,224252.552,128634.6856,0,0,6074.90564,128634.6856,0.125133734,0.633770972,0.3635407,0,0.017168584,0.428542408,0.711793532,0.288206468,60084.82832,447.98422,1087602.524,691162.8,0,0,0,0,0,0,1012,114993.7532,33345.48895,156510.0414,93010.01103,48989.18802,9.31,55.9,0,0,-49400.80074,353838.4716,353838.4716,0,0
6,6,6,6,6,6,6,6,6,37028.96093,247389.808,126910.6977,0,0,6209.5118,126910.6977,0.098338782,0.656999595,0.337040065,0,0.016490763,0.407503176,0.676848125,0.323151875,51536.0218,705.83497,1158241.768,720093.2,0,0,0,0,0,0,1007,112987.6835,36711.71698,172057.1721,88996.11545,54788.26815,6.81,55.4,0,0,-40994.13769,376544.8407,376544.8408,0,0
7,7,7,7,7,7,7,7,7,44142.63596,280382.0128,126007.8077,0,0,5678.48447,126007.8077,0.108248496,0.687564993,0.309001839,0,0.013925027,0.399830405,0.664103928,0.335896072,64780.12468,366.53875,1238818.156,731635.2,0,0,0,0,0,0,1000,117205.0919,52740.78743,180367.1983,99589.54499,57476.75379,8.04,56.5,0,0,-48421.10944,407789.8315,407789.8315,0,0
8,8,8,8,8,8,8,8,8,42971.21264,286329.4875,143579.7029,0,0,5705.58598,143579.7029,0.098473297,0.656155762,0.329028806,0,0.013074983,0.402674641,0.668828102,0.331171898,64144.10844,446.50052,1351003.549,745590,0,0,0,0,0,0,994,128533.2482,57717.2414,190307.3567,97328.52488,59816.41709,10.67,55.5,0,0,-42211.7256,436374.2634,436374.2634,0,0
9,9,9,9,9,9,9,9,9,50225.64624,276591.1838,147231.5875,0,0,5681.81484,147231.5875,0.117017061,0.644409579,0.343024112,0,0.013237645,0.416266238,0.691403255,0.308596745,83636.13556,667.5633,1320774.348,749516.6,0,0,0,0,0,0,1011,133422.2664,58035.13369,179333.0748,110670.28,58425.96288,10.56,56.6,0,0,-50513.79458,429216.4378,429216.4378,0,0
