,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,CL,NG,PM,NU,EM,RE,PA,CLPRB,HYTCB,NGMPB,PAPRB,GDPRX,TETGR,CLTCD,NGTCD,PATCD,NUETD,TPOPP,TEACB,TECCB,TEICB,TEEIB,TERCB,Precipitation,Temperature,TETCV,RETCD,ELISB,TE,ESTCD,GrowthRate
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5518.3762,745.4528,927135.5884,622804.0,0.0,0.0,0.0,0.0,0.0,0.0,954.0,91516.29852000001,23433.48173,170743.0278,37008.26113,43327.46783,8.12,57.1,0.0,,3076.95611,3076.95611,0.0,0.0
1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7707.0203200000005,553.3314,916382.6315,652807.4,0.0,0.0,0.0,0.0,0.0,0.0,965.0,101810.6589,25821.80923000001,166280.4478,38756.07061,46788.54189,8.87,55.5,0.0,,3826.2248700000014,3826.2248700000014,0.0,0.0
2,2,2,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12664.20572,672.22786,933731.7256,634102.4,0.0,0.0,0.0,0.0,0.0,0.0,979.0,108763.3341,29235.982930000002,190998.4069,40731.08732,47679.467880000004,5.39,56.3,0.0,,5036.21492,5036.21492,0.0,0.0
3,3,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36383.8702,456.59592000000004,938100.9122,637657.8,0.0,0.0,0.0,0.0,0.0,0.0,989.0,111938.921,28114.77252,179465.4782,58487.43034,51539.05606,7.47,57.3,0.0,,-9589.36366,-9589.36366,0.0,0.0
4,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55539.182839999994,98.72989,1019732.171,660405.4,0.0,0.0,0.0,0.0,0.0,0.0,1006.0,109121.6739,32672.22118,173247.3013,76813.24524,51480.46151,7.44,54.5,0.0,,-24211.1063,-24211.1063,0.0,0.0
5,5,5,5,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60084.82832000001,447.98422,1087602.524,691162.8,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,114993.7532,33345.48895,156510.0414,93010.01103,48989.18802,9.31,55.9,0.0,,-49400.80074,-49400.80074,0.0,0.0
6,6,6,6,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51536.0218,705.83497,1158241.768,720093.2,0.0,0.0,0.0,0.0,0.0,0.0,1007.0,112987.6835,36711.71698000001,172057.1721,88996.11545,54788.26815,6.81,55.4,0.0,,-40994.13769,-40994.13769,0.0,0.0
7,7,7,7,7,7,7,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64780.12467999999,366.53875,1238818.156,731635.2,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,117205.0919,52740.787430000004,180367.1983,99589.54499,57476.753789999995,8.04,56.5,0.0,,-48421.10944,-48421.10944,0.0,0.0
8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64144.108439999996,446.50052,1351003.549,745590.0,0.0,0.0,0.0,0.0,0.0,0.0,994.0,128533.2482,57717.2414,190307.3567,97328.52488,59816.417089999995,10.67,55.5,0.0,,-42211.7256,-42211.7256,0.0,0.0
9,9,9,9,9,9,9,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83636.13556,667.5633,1320774.348,749516.6,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,133422.2664,58035.133689999995,179333.0748,110670.28,58425.96287999999,10.56,56.6,0.0,,-50513.79458,-50513.79458,0.0,0.0
