"State","2016
Management of Companies and Enterprises,
Jobs","2016
Management of Companies and Enterprises,
Percent
of Total
Jobs","2016
Management of Companies and Enterprises,
Location
Quotient","2016
Forestry, Fishing, and Related Activities,
Jobs","2016
Forestry, Fishing, and Related Activities,
Percent
of Total
Jobs","2016
Forestry, Fishing, and Related Activities,
Location
Quotient","2016
Management of Companies and Enterprises,
Growth
Rate","2016
Management of Companies and Enterprises,
CC","2016
Management of Companies and Enterprises,
Local -
National
Growth","2016
Forestry, Fishing, and Related Activities,
Growth
Rate","2016
Forestry, Fishing, and Related Activities,
CC","2016
Forestry, Fishing, and Related Activities,
Local -
National
Growth"
"Alabama","18773","0.7150344243","0.5540734322","16168","0.6158140187","1.3015793484","7.6371767674","0.0514394551","4.5945051533","-0.302152063","-0.001892292","-0.019205061"
"Alaska","3500","0.7667754027","0.5941670284","9575","2.0976784232","4.4336355334","-4.057017544","-0.032054059","-7.099689158","-6.090623774","-0.134497098","-5.807676772"
"Arizona","38533","1.0580355844","0.8198617964","16075","0.4413858775","0.9329094912","3.4082065319","0.0357636468","0.3655349178","-2.88182697","-0.013432488","-2.598879968"
"Arkansas","36533","2.2377066401","1.7339777724","14441","0.8845351214","1.8695460188","5.2642194433","0.1133883953","2.2215478292","0.145631068","0.0013033149","0.4285780698"
"California","250613","1.0771959559","0.8347089876","247822","1.0651995555","2.2513968524","2.0473563125","0.0221491767","-0.995315302","2.1693601583","0.0231799857","2.4523071602"
"Colorado","42495","1.1639681797","0.9019479655","12108","0.3316467048","0.7009656955","2.5285304123","0.0293235439","-0.514141202","-1.08651254","-0.003721404","-0.803565538"
"Connecticut","36459","1.5835903227","1.2271092068","2269","0.0985536203","0.2083021058","1.3453787352","0.0211401162","-1.697292879","-2.282515073","-0.00231493","-1.999568071"
"Delaware","10323","1.7902604835","1.3872559654","S","S","U","62.874723888","0.7000488365","59.832052274","S","S","S"
"District of Columbia","3019","0.3394304898","0.2630214855","70","0.0078702002","0.0166343891","13.624388408","0.0414003378","10.581716794","-1.408450704","-0.000114366","-1.125503702"
"Florida","126440","1.0799146215","0.8368156559","60114","0.5134291961","1.0851796456","5.6819511543","0.059783166","2.6392795402","-2.24889019","-0.012162418","-1.965943188"
"Georgia","74544","1.2465533079","0.9659424025","25777","0.431052863","0.9110697183","4.2413055334","0.0519576274","1.1986339193","0.0426919196","0.0001884385","0.3256389214"
"Hawaii","9284","1.0153028137","0.7867485754","3862","0.4223502226","0.8926758906","3.1899522063","0.0318289797","0.1472805922","-4.121151936","-0.018409793","-3.838204935"
"Idaho","6420","0.6568339376","0.5089744239","12747","1.3041529912","2.7564468313","-1.397634772","-0.009586546","-4.440306386","-2.164402487","-0.029707758","-1.881455485"
"Illinois","103004","1.3164877165","1.0201339162","12222","0.1562086217","0.3301612336","1.0219493537","0.0134414324","-2.02072226","-1.949458484","-0.003134614","-1.666511482"
"Indiana","37934","0.983195684","0.7618690634","9549","0.2474965885","0.523106715","4.766902342","0.0454506075","1.7242307279","0.1363255034","0.0003423279","0.4192725052"
"Iowa","20416","0.9833202568","0.7619655936","14977","0.7213551864","1.5246502759","0.0342985938","0.0003397476","-3.00837302","-1.615975826","-0.011939702","-1.333028824"
"Kansas","26750","1.3940445375","1.0802319654","9840","0.5127999345","1.0838496436","-9.649744993","-0.149447197","-12.69241661","-1.796407186","-0.009415644","-1.513460184"
"Kentucky","23437","0.9369388241","0.7260250589","13154","0.5258562654","1.1114453951","5.5387940739","0.0497298215","2.4961224598","-0.075964752","-0.000404307","0.2069822495"
"Louisiana","28182","1.050206598","0.8137951887","18268","0.6807598514","1.4388483161","1.0361022479","0.0107174459","-2.006569366","-2.158427508","-0.014945089","-1.875480506"
"Maine","10573","1.2775819589","0.9899862116","14399","1.7398943182","3.6774260481","9.4740111824","0.1119463245","6.4313395683","-3.037037037","-0.055177915","-2.754090035"
"Maryland","29570","0.8072999353","0.6255691065","6103","0.1666199359","0.3521665","5.4076212883","0.0420789965","2.3649496742","-2.132777421","-0.003689193","-1.84983042"
"Massachusetts","68063","1.4419516122","1.1173547058","9787","0.2073429092","0.438238235","0.9866761625","0.0143497564","-2.055995452","-1.786251882","-0.003840987","-1.50330488"
"Michigan","64547","1.1502181685","0.8912932115","16871","0.3006387705","0.6354275855","5.1031540553","0.0569288847","2.0604824412","0.1781366902","0.0005449478","0.4610836921"
"Minnesota","81746","2.1978216975","1.7030713065","13683","0.3678809274","0.7775500446","0.9571328006","0.0211311519","-2.085538813","-1.390890747","-0.005262338","-1.107943745"
"Mississippi","12702","0.8016808664","0.621214943","14872","0.9386394147","1.9839003996","5.4895772776","0.0421093135","2.4469056635","1.2458302131","0.0116581004","1.5287772149"
"Missouri","68352","1.8406553457","1.4263064688","12905","0.347519564","0.7345144376","0.0131688688","0.0002459623","-3.029502745","-0.837559551","-0.002978876","-0.554612549"
"Montana","2578","0.3851025944","0.2984123687","7679","1.147091863","2.4244837471","2.9141716567","0.0110504095","-0.128499957","-0.813743219","-0.009536655","-0.530796217"
"Nebraska","22345","1.6983212879","1.3160131497","10506","0.7985036228","1.6877105644","-2.436362049","-0.042772813","-5.479033663","1.0775447373","0.0085852241","1.3604917392"
"Nevada","29091","1.697195494","1.3151407826","1614","0.0941622332","0.199020507","7.593017235","0.123193502","4.5503456209","-3.237410072","-0.003240355","-2.95446307"
"New Hampshire","9637","1.0999885858","0.8523707815","3210","0.3663965301","0.774412635","3.8357935567","0.0413306136","0.7931219426","0.4066312168","0.001509264","0.6895782186"
"New Jersey","88370","1.6376703088","1.269015278","6808","0.126165661","0.2666626836","2.0332759875","0.0331909696","-1.009395627","5.5503875969","0.0067475111","5.8333345987"
"New Mexico","6111","0.5559194367","0.4307767288","5557","0.5055218965","1.0684668435","4.1056218058","0.0220593956","1.0629501917","0","0","0.2829470019"
"New York","163060","1.3265618423","1.0279402613","14493","0.1179066649","0.2492065387","1.5285950002","0.0202779843","-1.514076614","-0.84832729","-0.001024224","-0.565380288"
"North Carolina","89276","1.5332598155","1.1881085714","25104","0.431145598","0.9112657223","3.130559342","0.0475479388","0.0878877279","-0.9626006","-0.004281069","-0.679653598"
"North Dakota","5683","0.9780081538","0.7578492951","4528","0.7792400001","1.6469951329","-0.420536184","-0.004002582","-3.463207798","-1.092179991","-0.008338712","-0.809232989"
"Ohio","145440","2.0903946195","1.6198270769","14314","0.2057336949","0.4348370131","0.0515942627","0.001092814","-2.991077351","-0.56269538","-0.001180239","-0.279748378"
"Oklahoma","21265","0.93319074","0.7231207038","8787","0.3856076667","0.8150171323","-0.793095405","-0.007431827","-3.835767019","-0.21576198","-0.000830616","0.0671850214"
"Oregon","46981","1.9139989872","1.483139765","31758","1.2938162201","2.7345991186","5.903701366","0.1095778762","2.8610297519","-2.723067969","-0.037195392","-2.440120968"
"Pennsylvania","143114","1.8834415099","1.4594610639","18732","0.2465211395","0.5210450143","2.5487793518","0.0473133669","-0.493892262","0.5690969612","0.001409957","0.8520439631"
"Rhode Island","14184","2.2384173266","1.7345284767","S","S","U","6.9763933932","0.1474503053","3.9337217791","S","S","S"
"South Carolina","20844","0.7736200176","0.5994708559","11641","0.4320528989","0.9131833859","8.5059864654","0.0619454668","5.4633148513","-0.325370323","-0.001440592","-0.042423321"
"South Dakota","5686","0.9483194265","0.7348437804","5418","0.9036219931","1.909887871","4.0629575403","0.0374050972","1.0202859262","-1.54461203","-0.014321771","-1.261665028"
"Tennessee","47912","1.2158943315","0.9421850508","10980","0.2786466806","0.5889452886","6.9488158218","0.0806764904","3.9061442077","-1.027582477","-0.002954423","-0.744635475"
"Texas","171476","1.0302460698","0.7983279636","58701","0.3526818595","0.7454254223","5.7292951216","0.0565951293","2.6866235075","-1.447207159","-0.005250215","-1.164260157"
"Utah","27703","1.4370251717","1.1135372535","3648","0.1892310517","0.3999571649","5.2025975012","0.0733757449","2.1599258871","-0.896495518","-0.001767445","-0.613548516"
"Vermont","2400","0.5510742504","0.4270222396","3667","0.8419955317","1.7796346986","-3.691813804","-0.021240148","-6.734485418","0.6311745335","0.0053100369","0.9141215353"
"Virginia","77186","1.5027142345","1.1644390888","13646","0.2656704382","0.5615188115","-0.482207323","-0.007387854","-3.524878937","0.5674699683","0.0015210288","0.8504169702"
"Washington","46807","1.0856871012","0.841288696","42066","0.9757197342","2.0622730522","3.7734175812","0.0405034903","0.7307459671","-2.466960352","-0.025320631","-2.184013351"
"West Virginia","7011","0.7851943107","0.6084396665","3207","0.35916676","0.7591318536","-0.256081946","-0.001994458","-3.29875356","1.6159695817","0.0056509633","1.8989165836"
"Wisconsin","71332","1.940063958","1.503337265","16882","0.4591510085","0.9704577232","10.166952385","0.1814489344","7.1242807713","2.129461585","0.0097022672","2.4124085868"
"Wyoming","1596","0.4024804497","0.3118783048","2844","0.7172020043","1.5158721451","-2.025782689","-0.008130963","-5.068454303","-2.234444826","-0.016015533","-1.951497825"

"BEA Regions"
"        New England","141316","1.44268395","1.1179221874","S","S","U","2.3561707337","0.0336648906","-0.68650088","S","S","S"
"        Mideast","437456","1.4382704089","1.1145021761","S","S","U","3.217647156","0.0454883493","0.1749755419","S","S","S"
"        Great Lakes","422257","1.5119253575","1.1715767011","69838","0.2500606103","0.52852601","3.0656802466","0.0455967432","0.0230086325","0.1017673112","0.0002577523","0.384714313"
"        Plains","230978","1.65880574","1.2853929243","71857","0.5160526286","1.0907245106","-1.039399496","-0.017584277","-4.08207111","-1.034321287","-0.005443443","-0.751374285"
"        Southeast","562840","1.1923934097","0.9239744081","227372","0.4816943969","1.0181052399","4.1129845266","0.0480137011","1.0703129125","-0.827844899","-0.004098494","-0.544897897"
"        Southwest","237385","1.0031432399","0.7773262363","89120","0.3766039368","0.7959869243","4.6892640418","0.0455385849","1.6465924277","-1.50091735","-0.005815988","-1.217970348"
"        Rocky Mountain","80792","1.0599753558","0.8213649069","39026","0.5120135438","1.0821875348","3.0181702263","0.0317431197","-0.024501388","-1.454471996","-0.007724561","-1.171524995"
"        Far West","386276","1.1664290231","0.9038548498","336697","1.0167164224","2.1489233087","3.0797763753","0.0357055524","0.0371047612","0.7384158765","0.0076354998","1.0213628784"

"Census Divisions"
"        Mountain","154527","1.0977014454","0.850598498","62272","0.4423567688","0.9349615589","3.9913591214","0.0430818603","0.9486875073","-1.746635321","-0.008041076","-1.463688319"
"        Pacific","357185","1.1374574415","0.8814050444","335083","1.0670735105","2.2553576282","2.7288127306","0.0309496735","-0.313858883","0.7583571134","0.0082267155","1.0413041153"
"        East North Central","422257","1.5119253575","1.1715767011","69838","0.2500606103","0.52852601","3.0656802466","0.0455967432","0.0230086325","0.1017673112","0.0002577523","0.384714313"
"        West North Central","230978","1.65880574","1.2853929243","71857","0.5160526286","1.0907245106","-1.039399496","-0.017584277","-4.08207111","-1.034321287","-0.005443443","-0.751374285"
"        South Atlantic","438213","1.1728361227","0.9088196509","S","S","U","4.6938834019","0.053739822","1.6512117878","S","S","S"
"        East South Central","102824","0.965319781","0.7480171947","55174","0.5179778417","1.0947936248","6.5666196833","0.0603936914","3.5239480692","0.0181277645","0.0000953183","0.3010747663"
"        West South Central","257456","1.1078617364","0.8584716117","100197","0.4311588093","0.9112936455","4.5642479429","0.0488318953","1.5215763288","-1.244825547","-0.005488048","-0.961878545"
"        New England","141316","1.44268395","1.1179221874","S","S","U","2.3561707337","0.0336648906","-0.68650088","S","S","S"
"        Middle Atlantic","394544","1.5602923658","1.2090558397","40033","0.1583174102","0.3346183512","2.0097163438","0.0311788693","-1.03295527","0.856574207","0.0013637998","1.1395212089"

"Census Regions"
"        West","511712","1.1251516869","0.8718694313","397355","0.8737036625","1.8466527381","3.1068340678","0.03470947","0.0641624537","0.3573773804","0.0031852844","0.6403243823"
"        Midwest","653235","1.5607922283","1.2094431784","141695","0.3385557338","0.7155685614","1.5758022457","0.0245124581","-1.466869368","-0.47761194","-0.001644807","-0.194664938"
"        South","798493","1.1206236701","0.8683607137","S","S","U","4.8893168276","0.0531240665","1.8466452135","S","S","S"
"        Northeast","535860","1.5274544589","1.1836100553","S","S","U","2.1008547465","0.0318732867","-0.941816868","S","S","S"

"United States","2499300","1.290504801","1","916300","0.4731282956","1","3.0426716141","0.0387558633","0","-0.282947002","-0.001365383","0"


