,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,CL,NG,PM,NU,EM,RE,PA,CL_prop,NG_prop,PM_prop,NU_prop,RE_prop,Entropy,BalanceDegree,DominanceDegree,CLPRB,HYTCB,NGMPB,PAPRB,GDPRX,TETGR,CLTCD,NGTCD,PATCD,NUETD,TPOPP,TEACB,TECCB,TEICB,TEEIB,TERCB,Precipitation,Temperature,TETCV,RETCD,ELISB,TE,TETCB,ESTCD,GrowthRate
0,0,0,0,0,0,0,0,0,24973.50023,2815482.555,1551953.947,0.0,0.0,50154.98177,1551953.947,0.0056339103580872974,0.6351603172779834,0.35011389419791256,0.0,0.01131474037284691,0.3194735516548605,0.5306340834078651,0.4693659165921349,26409.183419999998,11858.66056,6610703.861000001,5379378.2,0.0,0.0,0.0,0.0,0.0,0.0,9624.0,798018.2296,201279.8248,3069704.401,433199.6131,363110.8723,25.09,63.9,0.0,0.0,-9853.30726,4432711.67674,4432113.328,0.0,0.0
1,1,1,1,1,1,1,1,1,18203.319180000002,2831992.875,1572252.495,0.0,0.0,52022.853039999995,1572252.495,0.004077149588741064,0.6343051215796938,0.35215053639389965,0.0,0.011651993341423831,0.3172963311160295,0.5270177983695108,0.4729822016304892,26535.061319999997,13142.739,6690243.833,5447307.8,0.0,0.0,0.0,0.0,0.0,0.0,9820.0,814528.5529,207924.444,3083788.7389999996,447910.6347,358119.0476,35.55,62.9,0.0,0.0,-9754.51779,4464717.02443,4464360.784,0.0,0.0
2,2,2,2,2,2,2,2,2,20582.13241,2959562.835,1651700.33,0.0,0.0,47721.249789999994,1651700.33,0.004417843880046328,0.6352542242836203,0.3545285808683125,0.0,0.010243109272316336,0.3156223536804383,0.5242373820327618,0.4757626179672382,25855.320659999998,8446.13605,6821056.636,5471302.4,0.0,0.0,0.0,0.0,0.0,0.0,10053.0,836013.2326,224794.7478,3180516.562,518105.9111,417181.6631,27.12,64.9,0.0,0.0,-20702.86418,4658863.683019999,4658506.205,0.0,0.0
3,3,3,3,3,3,3,3,3,19173.18137,3044427.711,1755830.044,0.0,0.0,42717.86659,1755830.044,0.0039634266979539,0.6293356244284086,0.3629603005971654,0.0,0.008830518506821955,0.31398206404207346,0.5215129199160434,0.4784870800839566,27441.3822,5008.91804,6961089.887,5671443.0,0.0,0.0,0.0,0.0,0.0,0.0,10159.0,860948.4271,247717.5051,3286332.336,579584.249,441949.8759,17.76,66.1,0.0,0.0,-24622.38172,4837526.42124,4836948.143999998,0.0,0.0
4,4,4,4,4,4,4,4,4,26231.64422,3040491.913,1870340.3369999998,0.0,0.0,43884.2564,1870340.3369999998,0.0052994335369247894,0.6142537111804732,0.3778544808031485,0.0,0.008865692831097963,0.3199732024240421,0.5314639853717533,0.4685360146282467,28838.626889999996,4747.83345,7320770.403,5739245.0,0.0,0.0,0.0,0.0,0.0,0.0,10270.0,888990.0856,266579.4641,3339082.395,630186.9509,454803.5373,25.35,66.1,0.0,0.0,-31052.27265,4949895.877970002,4949455.482,0.0,0.0
5,5,5,5,5,5,5,5,5,29182.3709,3181455.854,1908986.256,0.0,0.0,48966.77921,1908986.256,0.005657467299113197,0.6167758788089849,0.3700873844275803,0.0,0.009492989896974785,0.3211244686105145,0.5333761971165214,0.4666238028834786,30349.161689999997,7770.916999999998,7445189.807999997,5804344.2,0.0,0.0,0.0,0.0,0.0,0.0,10378.0,920388.7648,280426.8824,3494003.483,671895.6554,463104.8579,24.35,66.0,0.0,0.0,-10387.18095,5158204.07916,5157923.988,0.0,0.0
6,6,6,6,6,6,6,6,6,27843.512539999996,3404262.3019999997,1989268.2619999999,0.0,0.0,51980.12089,1989268.2619999999,0.005091983184138628,0.6225667961712225,0.3637946370556836,0.0,0.009506052840895377,0.3187888463911783,0.5294968125817935,0.4705031874182065,28360.290869999997,8195.3552,7801078.4860000005,6134694.8,0.0,0.0,0.0,0.0,0.0,0.0,10492.0,951667.2378,308382.2856,3715314.541,741537.7142,492436.4974,21.77,63.8,0.0,0.0,-5246.4812200000015,5468107.71621,5467800.562000001,0.0,0.0
7,7,7,7,7,7,7,7,7,23523.05369,3638596.329,2050993.719,0.0,0.0,49944.1609,2050993.719,0.004087614551969146,0.6322809741953156,0.35640235669511483,0.0,0.008678825528826501,0.3132253129488771,0.5202559835573806,0.4797440164426194,27101.51187,6043.41408,8064835.597,6495779.6,0.0,0.0,0.0,0.0,0.0,0.0,10599.0,1002756.813,377156.0242,3853133.433,815227.1598,521332.6792,23.34,65.0,0.0,0.0,-8343.01766,5754714.244929999,5754378.95,0.0,0.0
8,8,8,8,8,8,8,8,8,24996.16792,3836858.9839999997,2208741.191,0.0,0.0,62938.87125,2208741.191,0.004076433667277236,0.6257239585295892,0.3602066917661521,0.0,0.010264218682042177,0.3172949072312504,0.527015433348085,0.472984566651915,28838.626889999996,13790.129140000001,8408696.97,6573604.0,0.0,0.0,0.0,0.0,0.0,0.0,10819.0,1096153.896,402864.0446,4064505.73,898901.8966,568005.1698,28.64,63.2,0.0,0.0,-1663.59299,6131871.621180003,6131528.841,0.0,0.0
9,9,9,9,9,9,9,9,9,25141.17685,4024716.6939999997,2404529.562,0.0,0.0,64351.45971,2404529.562,0.0038555777391495578,0.6172188431891168,0.3687516581935279,0.0,0.009868752645111587,0.3182136011362152,0.5285413508948372,0.4714586491051628,28309.939710000002,13278.80561,8810076.486,6680295.0,0.0,0.0,0.0,0.0,0.0,0.0,11045.0,1159308.381,433870.0624,4284395.386,1024875.8559999999,642705.8823,36.84,64.2,0.0,0.0,1989.91929,6520728.811849997,6520279.712,0.0,0.0
10,10,10,10,10,10,10,10,10,30766.97153000001,4203877.355,2469057.693,0.0,0.0,62756.82021000001,2469057.693,0.004537256641004996,0.61995280973123,0.3641160587958824,0.0,0.00925485301627862,0.31794015286515914,0.5280871631477775,0.4719128368522225,29077.7949,10549.859559999999,9376066.646,7248242.6,0.0,0.0,0.38555,0.29356,1.57982,0.0,11236.0,1211721.1909999999,462300.67299999995,4427927.933,1102358.5420000001,678597.6958,17.92,64.0,5324.06795,-82.96810641905707,14504.62879,6780963.46853,6780547.493,4.51714,0.0
11,11,11,11,11,11,11,11,11,24047.85711,4482575.728999998,2544152.252,0.0,0.0,60470.71299,2544152.252,0.00338421112856786,0.6308247174515077,0.35803391231932435,0.0,0.008509933293311681,0.3119098412351649,0.5180710323354755,0.4819289676645245,28360.290869999997,9219.70746,9595859.89,7092970.8,0.0,0.0,0.44637,0.32633,1.6543700000000001,0.0,11509.848,1257792.7759999998,482706.649,4644493.334,1211429.709,720352.5034,26.11,64.3,5863.98515,-93.47033736976931,-5349.13619,7105897.414909998,7105345.262,4.5653,0.0
12,12,12,12,12,12,12,12,12,50140.23599,4531776.683,2843193.869,0.0,0.0,67559.72792,2843193.869,0.006710686081004669,0.6065254801532021,0.3805283550340967,0.0,0.009042082009339312,0.32444569295303904,0.5388926313429495,0.4611073686570505,50917.61055,8614.71531,9733316.363,7549773.0,0.0,0.0,0.39165,0.3382,1.62527,0.0,11759.148000000001,1360300.1519999998,521477.1118,4806806.899,1359361.033,782372.3394,21.96,63.3,6465.27217,-89.82022011284103,-20970.09888,7471700.41703,7470968.3160000015,4.6994099999999985,0.0
13,13,13,13,13,13,13,13,13,125909.1766,4746154.938,3125948.2139999997,0.0,0.0,78101.59584,3125948.2139999997,0.01559668725975846,0.5879181824015225,0.3872190891919351,0.0,0.009674641655980238,0.34284477191975743,0.569452840012746,0.430547159987254,97216.0,17662.505119999998,9559534.674,7509091.8,0.0,0.0,0.4237,0.358,1.73102,0.0,12019.543,1485796.02,564711.8305,5226446.2760000015,1413416.3080000004,794777.3216,24.11,62.9,7483.05931,-91.41908355276692,-3298.55647,8072815.36797,8071725.41,4.8781,0.0
14,14,14,14,14,14,14,14,14,133140.8435,4584002.31,3140490.042,0.0,0.0,76691.32086,3140490.042,0.016804882880300704,0.5785874560917731,0.3963890114798668,0.0,0.009679889589912824,0.3461083877236479,0.5748735885276771,0.4251264114723229,107576.0,17035.43383,9176624.985,7320330.8,0.0,0.0,0.67099,0.53869,2.78367,0.0,12268.628999999999,1508953.208,551904.2086,5072971.876,1480246.698,787712.6474,33.45,64.1,11079.70264,-146.32819896894597,-11577.03586,7922747.4805,7921551.775,5.83895,0.0
15,15,15,15,15,15,15,15,15,196171.6773,4046930.4910000004,3074389.5289999996,0.0,0.0,75871.68555,3074389.5289999996,0.02663092377653068,0.5493835752340732,0.41735807295441335,0.0,0.010299820557628243,0.3636926591115324,0.6040804311034458,0.3959195688965542,144159.7561,20052.04982,8415741.686,7087188.2,0.0,0.0,0.61268,0.89233,3.08005,0.0,12568.843,1561401.9880000001,566274.6777,4476429.838,1528648.174,761045.7756,22.21,62.8,12501.71052,-171.39369288470073,-27051.98689,7366311.3959599985,7365142.004,6.81027,0.0
16,16,16,16,16,16,16,16,16,226342.1596,4074689.901,3321987.673,0.0,0.0,75964.66533999999,3321987.673,0.02948138133144715,0.5307340311282319,0.4326935182520003,0.0,0.009894503395046278,0.3683939850940239,0.6118891645356771,0.3881108354643229,182650.6659,11080.38674,8095614.873,6899233.4,0.0,0.0,0.7440899999999999,1.2054799999999999,3.27082,0.0,12904.089,1613678.052,598119.8871,4696388.631,1602233.975,768460.6187,22.53,62.1,14938.9261,-207.50214565874717,-21523.25642,7677461.142519997,7676636.932999997,7.81619,0.0
17,17,17,17,17,17,17,17,17,288186.5403,4254884.869,3669061.82,0.0,0.0,82565.80703,3669061.82,0.03489090918592209,0.5151413435418968,0.4442154120934633,0.0,0.009996289458720766,0.37578324571363697,0.6241624607620458,0.37583753923795415,209460.0423,12199.3185,7942018.855,6599704.0,374213.9605,22.07152,0.79707,1.3591799999999998,3.5531900000000003,0.0,13193.05,1727264.48,663303.9047,5001619.801,1804757.41,867279.0126,16.27,65.0,18048.37209,-226.68907350991643,-35053.55778,8259645.478549999,8259469.661,8.98392,0.05503699373610086
18,18,18,18,18,18,18,18,18,418437.8002,4329772.852,3889322.271,0.0,0.0,84175.21416,3889322.271,0.04817980443402212,0.4985391117948483,0.4478247096894732,0.0,0.009692110403224343,0.3899263502026751,0.6476536488375775,0.3523463511624225,265268.003,7923.41934,7361538.999,6229490.0,394809.5719,21.9976,0.8740100000000001,1.70807,3.5044800000000005,0.0,13500.428999999998,1825561.03,713455.7841,5215168.272,1949322.5869999998,930692.3433,18.28,64.3,20319.38198,-249.61163948640348,-36787.03576,8684921.1016,8684864.669,9.78316,0.033286836326573976
19,19,19,19,19,19,19,19,19,587641.9574,4131399.272,4223496.704,0.0,0.0,89720.8005,4223496.704,0.06551025961637882,0.4605679282757738,0.4708349396835637,0.0,0.010002064794266392,0.4066480966530326,0.6754278685020902,0.3245721314979097,356524.1370000001,12447.87779,7999621.09,5904945.2,407951.5335,21.988229999999998,1.1371799999999999,1.9335900000000001,4.8464800000000015,0.0,13888.371000000001,1880592.9840000002,816533.2362,5331251.1110000005,2000510.375,941758.4326,20.36,63.7,27354.78866,-316.79309700037317,-62030.85141,8970227.88249,8970132.66,10.88965,0.03524734170413407
20,20,20,20,20,20,20,20,20,734144.6213,4226104.775,4092185.6760000004,0.0,0.0,65818.6753,4092185.6760000004,0.08132075724191394,0.4681230789079519,0.4532889410230343,0.0,0.007290694994914972,0.4142785694616081,0.6881018095021307,0.3118981904978693,385040.8211,10171.1505,7966294.779,5669128.8,422330.7406,21.37136,1.21575,2.1653,6.74872,0.0,14338.208,1801946.491,760193.7144,5533705.177999998,2173443.2430000002,929935.458,20.67,65.7,35405.960289999995,-554.1963779225748,-90489.54324,9027764.20436,9025782.041,12.69162,0.06314642467681168
21,21,21,21,21,21,21,21,21,858514.3909,4052341.117,3959216.3439999996,0.0,0.0,70515.77613,3959216.3439999996,0.09711659075570073,0.4584076376979787,0.4478732068666241,0.0,0.007976863107744345,0.4266104409557647,0.7085846046916204,0.2914153953083796,418837.5679,11972.11358,7786476.105,5481765.6,448999.4169,19.68611,1.46963,2.77635,7.85842,0.0,14746.318000000001,1825953.612,788171.3732,5317193.338,2207365.318,907729.4162,27.77,65.7,43163.75156,-595.7766481853912,-100549.2348,8840038.39323,8839051.882000001,15.62204,0.0036124739564221834
22,22,22,22,22,22,22,22,22,931064.9405,3503024.635,3802635.7442199998,0.0,314.55278,80753.13672000001,3802950.297,0.11280769158167307,0.424425950799812,0.4607267888328522,0.0,0.009784038196594987,0.4395954608684274,0.7301522559218935,0.2698477440781065,448800.8864,10737.83655,7302001.1620000005,5366716.8,450621.4156,18.31661,1.6072799999999998,3.43795,7.52187,0.0,15331.415,1882945.968,818907.6236,4582829.892,2200529.251,969172.4856,21.31,64.6,42823.23134,-506.8509140332905,-63919.43537000001,8253559.02107,8253855.618,18.34151,-0.0015234970559175071
23,23,23,23,23,23,23,23,23,1016757.9940000001,3335519.164,3813362.49512,0.0,2275.26288,78067.25711,3815637.758,0.12363199056045135,0.4055801638456088,0.4636831957873497,0.0,0.009492534556953626,0.4451652997356965,0.7394035580304819,0.2605964419695181,493047.9886,11648.20688,6722393.488,5235520.8,449934.8952,18.28373,1.68373,3.5274900000000002,7.12627,0.0,15751.676000000001,1880447.395,892409.7351,4506367.178,2206060.1459999997,947256.9617,19.5,63.2,42370.80413,-515.6141717720768,-19638.12843,8224068.7818,8226486.996,19.05815,0.05823272962270115
24,24,24,24,24,24,24,24,24,1074868.477,3556198.05,4006688.69321,0.0,1611.32179,88645.53325,4008300.015,0.1227801022567328,0.4062174764328806,0.4576761324662226,0.0,0.0101258041052753,0.4463170615579967,0.7413165930085408,0.2586834069914592,515268.7098,10766.6154,7060735.791,5247689.2,476135.8323,18.39009,1.6831,3.68209,7.05543,0.0,16007.086000000001,1959857.554,878272.7683,4869332.463,2302918.603,1048709.303,22.33,64.3,44663.3168,-492.4685994472689,28018.38485,8754419.138309997,8756179.058,18.42263,0.04476098427007629
25,25,25,25,25,25,25,25,25,1148998.132,3514372.642,3995987.35645,0.0,2801.29955,96301.17597000001,3998788.6560000004,0.13032507385135808,0.3986175968037539,0.4532447293294985,0.0,0.010922957592991877,0.4517517556020744,0.7503434244246102,0.24965657557538976,574734.0457,14635.59929,6924656.325,5155219.8,497448.1408,17.728839999999995,1.59665,3.38081,6.5766899999999975,0.0,16272.733999999999,2027384.782,893693.0525,4820883.221,2331942.075,1077207.947,22.27,63.5,42849.64982,-426.79256469967765,60741.85143,8816401.15785,8819179.127999999,18.58205,-0.022293669812827228
26,26,26,26,26,26,26,26,26,1162745.476,3312929.249,4020958.09417,0.0,2729.68583,113055.793,4023687.78,0.13356833229283638,0.3805668944121429,0.461900457101988,0.0,0.01298708448129376,0.4558976283458476,0.7572295699972942,0.24277043000270584,615490.0159,20603.02186,7018350.486000001,4869714.8,486358.1962,17.904339999999994,1.54682,2.6223099999999997,4.9362699999999995,0.0,16561.113,2073302.961,876652.1833,4707757.414,2264602.731,1050204.864,31.98,65.3,34347.25142,-282.42489856706976,95559.52592,8705248.138089998,8707922.255,16.911170000000002,-0.003924427541085593
27,27,27,27,27,27,27,27,27,1203924.703,3435412.606,4075167.8309,0.0,3841.6271,120708.9929,4079009.458,0.1345929767347074,0.3840625645451837,0.4555841139297162,0.0,0.01349468337394823,0.4576267073434896,0.7601015080475674,0.23989849195243265,640051.3483,22481.84731,6972153.488,4554605.75,484449.5187,18.47175,1.53731,2.3788400000000003,5.23206,0.0,16621.791,2032586.239,902336.4233,4924545.5030000005,2259195.889,1089165.183,27.07,63.5,35036.794969999995,-274.3789469314029,109715.478,8944929.610800002,8948631.769,16.317829999999994,0.059876975784473985
28,28,28,28,28,28,28,28,28,1264112.975,3665186.602,4325285.16419,40200.58939,2881.912810000001,111779.9304,4328167.077,0.13283478619303196,0.3851430119481489,0.45450710606706,0.0042243350096572785,0.011745993790907804,0.4644003196489964,0.6644066508836096,0.3355933491163904,658102.249,12750.63555,7132908.584,4424759.916,513456.8908,18.53943,1.4653,2.4432400000000003,4.99528,0.37121,16667.022,2146023.8019999997,946198.4339,5308078.454,2350438.734,1118902.4109999998,16.22,64.2,36518.99332,-306.2077932067918,109864.9696,9516430.23058,9519199.747,16.582539999999998,0.025536291429589995
29,29,29,29,29,29,29,29,29,1335905.732,3886116.389,4360926.448969998,105721.7888,2172.67303,127599.786,4363099.1219999995,0.13626659838794167,0.3963961292956419,0.44482825306205614,0.010783955926064093,0.013015580648207969,0.479503520642415,0.6860144464967645,0.31398555350323554,675279.6143,15033.982909999999,7054657.828,4151047.3219999997,526568.6756,18.621660000000002,1.44052,2.4961900000000004,5.11491,0.41635,16806.735,2149960.8140000002,993076.655,5469387.391,2605261.905,1193165.76,27.66,63.7,38103.01173,-264.38277955183133,-12651.73935,9803618.405419998,9805582.659,16.79384,0.03217857249235901
30,30,30,30,30,30,30,30,30,1333670.519,3877832.712,4405481.0264,167822.6682,2026.9836,117295.1994,4407508.01,0.1343065312362501,0.3905149381675583,0.4436514616267819,0.016900486370242798,0.01181214635672567,0.4858835160598273,0.6951421563810719,0.3048578436189281,706720.2723,18657.28725,7175830.1779999975,4077495.555,543512.9039,18.271079999999998,1.43835,2.44928,6.3410800000000025,0.56006,17056.755,2155141.8030000003,1009597.015,5575489.8379999995,2640827.645,1190350.624,31.35,65.2,43253.26986,-340.10607061421933,27947.49153000001,9930049.616530001,9930570.329,17.08661,0.016156793034698014
31,31,31,31,31,31,31,31,31,1333449.4540000001,3824190.2660000003,4430717.86244,207581.8056,2021.2025600000002,122321.6626,4432739.065,0.13424282858516925,0.3849940594416493,0.4460552267148632,0.020897956546435937,0.012314532009748537,0.491686142829876,0.7034438384762296,0.2965561615237704,674066.6225,23215.727319999998,7110440.241,4099176.0719999997,552294.3294,17.98406,1.48654,2.28493,6.0787,0.48557,17398.005,2103189.156,1024283.5229999999,5596846.525,2671652.801,1208185.702,33.28,64.2,43258.99144,-310.567327956294,14853.94741,9933114.99805,9932496.395,17.91116,0.03928532404736285
32,32,32,32,32,32,32,32,32,1324063.139,3768324.3219999997,4611572.82066,256501.7206,2283.91334,136108.7629,4613856.734,0.13141813715855136,0.3740200508719856,0.4577155662832356,0.025458739320145984,0.013509295398693937,0.4967604120733336,0.7107034765321972,0.2892965234678028,685491.3161,27283.892089999998,7020275.5129999975,3908960.1610000003,573991.3911,17.55112,1.48082,2.45451,5.84574,0.5196,17759.738,2149477.456,1023692.7390000001,5727818.902000003,2684437.3210000005,1173195.439,27.88,64.0,43421.78375,-278.3222175086143,-21377.43471,10075193.33045,10074192.28,18.2089,0.03596025449169844
33,33,33,33,33,33,33,33,33,1430675.5369999998,3925166.117,4559547.36221,130320.7541,519.68979,117754.1535,4560067.052,0.14063475889237062,0.3858420558684633,0.4482014456522771,0.012810471247699415,0.011575180086445905,0.482256555657296,0.68995314915611,0.31004685084389005,682967.12,18416.04915,7058330.02,3717387.877,594632.2676,17.10343,1.42127,2.7753799999999997,5.78067,0.69201,18161.612,2143063.526,1039312.5009999999,5746011.511,2774473.295,1241860.922,18.8,63.5,44980.77958,-335.5542476358683,9522.81338,10172986.73719,10170250.41,18.929,0.055886830753615745
34,34,34,34,34,34,34,34,34,1389409.4430000002,3885072.5510000004,4764773.7208199985,300447.6943,1288.30718,115392.3267,4766062.028,0.13306310875810207,0.37207162653984494,0.4563202064124866,0.028773738673058588,0.011051070506890562,0.4977583220649423,0.712131162964259,0.2878688370357409,660044.324,15787.977780000001,7200826.914,3592787.71,627864.3805,16.62531,1.3447799999999999,2.4994099999999997,6.11235,0.5999899999999999,18564.061999999998,2200292.273,1069547.477,5927941.607000003,2864479.559,1240654.135,28.44,64.5,47236.93124,-351.7465443001433,-13362.817,10441732.91882,10438440.57,19.07195,0.050489636591193744
