,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,CL,NG,PM,NU,EM,RE,PA,CL_prop,NG_prop,PM_prop,NU_prop,RE_prop,Entropy,BalanceDegree,DominanceDegree,CLPRB,HYTCB,NGMPB,PAPRB,GDPRX,TETGR,CLTCD,NGTCD,PATCD,NUETD,TPOPP,TEACB,TECCB,TEICB,TEEIB,TERCB,Precipitation,Temperature,TETCV,RETCD,ELISB,TE,TETCB,ESTCD,GrowthRate
0,0,0,0,0,0,0,0,0,0,24973.50023,2815482.555,1551953.947,0.0,0.0,50154.98177,1551953.947,0.0056339103580872974,0.6351603172779834,0.35011389419791256,0.0,0.01131474037284691,0.3194735516548605,0.5306340834078651,0.4693659165921349,-1.3812551731896194,-0.22259441824572285,-1.190293495924946,0.3334572738576959,-1.2072993994145194,-1.316811142305598,-1.626931704417357,-1.1082201250087678,-1.1425733794322201,-0.8598922551459004,-1.4219237090170531,-1.7202130795900237,-1.6830505111468321,-1.991384033548389,-1.7167415926191163,-1.7181056647229893,0.1014455487048877,-0.47750275251388286,0.0,1.3542622172581698,-9853.30726,4432711.67674,4432113.328,-1.4493092385435824,-0.8365412803496631
1,1,1,1,1,1,1,1,1,1,18203.31918,2831992.875,1572252.495,0.0,0.0,52022.85304,1572252.495,0.004077149588741064,0.6343051215796938,0.35215053639389965,0.0,0.011651993341423831,0.3172963311160295,0.5270177983695108,0.4729822016304892,-1.3807813613113677,0.04710034760312043,-1.0919269034446988,0.37683237951774745,-1.2072993994145194,-1.316811142305598,-1.626931704417357,-1.1082201250087678,-1.1425733794322201,-0.8598922551459004,-1.3785369190893104,-1.6943059683654238,-1.6657560156587061,-1.9779042945383987,-1.7024266843891898,-1.7308166988205587,1.94366853386655,-1.4028956837423412,0.0,1.3542622172581698,-9754.51779,4464717.02443,4464360.784,-1.4493092385435824,-0.8365412803496631
2,2,2,2,2,2,2,2,2,2,20582.13241,2959562.835,1651700.33,0.0,0.0,47721.24979,1651700.33,0.004417843880046328,0.6352542242836203,0.3545285808683125,0.0,0.010243109272316336,0.3156223536804383,0.5242373820327618,0.4757626179672382,-1.3833399454539275,-0.9393263327523549,-0.9301515173042538,0.3921536578746155,-1.2072993994145194,-1.316811142305598,-1.626931704417357,-1.1082201250087678,-1.1425733794322201,-0.8598922551459004,-1.3269597657568408,-1.6605933646508255,-1.6218462919905066,-1.8853287110040824,-1.634121507008421,-1.5804214095965323,0.45897065959190275,0.44789017871458203,0.0,1.3542622172581698,-20702.86418,4658863.6830199985,4658506.205,-1.4493092385435824,-0.8365412803496631
3,3,3,3,3,3,3,3,3,3,19173.18137,3044427.711,1755830.044,0.0,0.0,42717.86659,1755830.044,0.0039634266979539,0.6293356244284086,0.3629603005971654,0.0,0.008830518506821955,0.31398206404207346,0.5215129199160434,0.4784870800839566,-1.3773699157879549,-1.661244618662036,-0.7569732600275038,0.5199494887328295,-1.2072993994145194,-1.316811142305598,-1.626931704417357,-1.1082201250087678,-1.1425733794322201,-0.8598922551459004,-1.3034954814081636,-1.6214663987168196,-1.5621833510803254,-1.7840552953376783,-1.57429855323294,-1.517352368442772,-1.1895195068625106,1.5583616961887214,0.0,1.3542622172581698,-24622.381719999998,4837526.42124,4836948.143999998,-1.4493092385435824,-0.8365412803496631
4,4,4,4,4,4,4,4,4,4,26231.64422,3040491.913,1870340.337,0.0,0.0,43884.2564,1870340.337,0.0052994335369247894,0.6142537111804732,0.3778544808031485,0.0,0.008865692831097963,0.3199732024240421,0.5314639853717533,0.4685360146282467,-1.3721106039393596,-1.716080168557875,-0.3121585857093154,0.5632431179307467,-1.2072993994145194,-1.316811142305598,-1.626931704417357,-1.1082201250087678,-1.1425733794322201,-0.8598922551459004,-1.2789243911939827,-1.5774649365721174,-1.513089783036168,-1.7335696404150547,-1.5250583948278416,-1.4846221869654432,0.14723694221751057,1.5583616961887214,0.0,1.3542622172581698,-31052.27265,4949895.877970002,4949455.482,-1.4493092385435824,-0.8365412803496631
5,5,5,5,5,5,5,5,5,5,29182.3709,3181455.854,1908986.256,0.0,0.0,48966.77921,1908986.256,0.005657467299113197,0.6167758788089849,0.3700873844275803,0.0,0.009492989896974785,0.3211244686105145,0.5333761971165214,0.4666238028834786,-1.366424861400338,-1.0811424694569232,-0.1582898754177168,0.6048109275216297,-1.2072993994145194,-1.316811142305598,-1.626931704417357,-1.1082201250087678,-1.1425733794322201,-0.8598922551459004,-1.2550173844991042,-1.5281958181206377,-1.4770479714434823,-1.5852988566988617,-1.484472751387102,-1.463483950840794,-0.028883802061807108,1.4658224030658809,0.0,1.3542622172581698,-10387.18095,5158204.07916,5157923.988,-1.4493092385435824,-0.8365412803496631
6,6,6,6,6,6,6,6,6,6,27843.51254,3404262.302,1989268.262,0.0,0.0,51980.12089,1989268.262,0.005091983184138628,0.6225667961712225,0.3637946370556836,0.0,0.009506052840895377,0.3187888463911783,0.5294968125817935,0.4705031874182065,-1.3739110890767166,-0.9919977899727749,0.2818354562477372,0.8157497845127128,-1.2072993994145194,-1.316811142305598,-1.626931704417357,-1.1082201250087678,-1.1425733794322201,-0.8598922551459004,-1.229782210765621,-1.4791153207722523,-1.404286150192516,-1.3734880281128927,-1.416705895503678,-1.3887947355279813,-0.483275322302447,-0.57004204563673,0.0,1.3542622172581698,-5246.4812200000015,5468107.71621,5467800.562000001,-1.4493092385435824,-0.8365412803496631
7,7,7,7,7,7,7,7,7,7,23523.05369,3638596.329,2050993.719,0.0,0.0,49944.1609,2050993.719,0.0040876145519691464,0.6322809741953156,0.35640235669511483,0.0,0.008678825528826501,0.3132253129488771,0.5202559835573806,0.4797440164426194,-1.3786492078592347,-1.4439695997937527,0.6080222476072434,1.0463133584515945,-1.2072993994145194,-1.316811142305598,-1.626931704417357,-1.1082201250087678,-1.1425733794322201,-0.8598922551459004,-1.2060965652438433,-1.3989483074997773,-1.2252830988334178,-1.2415852936850442,-1.345000633968466,-1.3152143567640058,-0.20676575378391823,0.5404294718374226,0.0,1.3542622172581698,-8343.01766,5754714.244929999,5754378.95,-1.4493092385435824,-0.8365412803496631
8,8,8,8,8,8,8,8,8,8,24996.16792,3836858.984,2208741.191,0.0,0.0,62938.87125,2208741.191,0.004076433667277236,0.6257239585295892,0.3602066917661521,0.0,0.010264218682042177,0.3172949072312504,0.527015433348085,0.472984566651915,-1.3721106039393596,0.18307158330126813,1.033273485407404,1.0960065934026342,-1.2072993994145194,-1.316811142305598,-1.626931704417357,-1.1082201250087678,-1.1425733794322201,-0.8598922551459004,-1.157397107161683,-1.252394628727529,-1.1583707251617332,-1.0392865844732817,-1.2635789481723383,-1.1963689134464364,0.7266741908964656,-1.1252778043737997,0.0,1.3542622172581698,-1663.59299,6131871.621180003,6131528.841,-1.4493092385435824,-0.8365412803496631
9,9,9,9,9,9,9,9,9,9,25141.17685,4024716.694,2404529.562,0.0,0.0,64351.45971,2404529.562,0.0038555777391495578,0.6172188431891168,0.3687516581935279,0.0,0.009868752645111587,0.3182136011362152,0.5285413508948372,0.4714586491051628,-1.3741006138280172,0.07567839344570607,1.529657055674334,1.1641320261738648,-1.2072993994145194,-1.316811142305598,-1.626931704417357,-1.1082201250087678,-1.1425733794322201,-0.8598922551459004,-1.1073694820409186,-1.1532960079738508,-1.0776688190319055,-0.8288361413018264,-1.1409970013025523,-1.0061532386651812,2.1708642939868708,-0.19988487314534142,0.0,1.3542622172581698,1989.9192899999998,6520728.811849997,6520279.712,-1.4493092385435824,-0.8365412803496631
