,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,CL,NG,PM,NU,EM,RE,PA,CLPRB,HYTCB,NGMPB,PAPRB,GDPRX,TETGR,CLTCD,NGTCD,PATCD,NUETD,TPOPP,TEACB,TECCB,TEICB,TEEIB,TERCB,Precipitation,Temperature,TETCV,RETCD,ELISB,TE,ESTCD,GrowthRate
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26409.183419999998,11858.66056,6610703.861000001,5379378.2,0.0,0.0,0.0,0.0,0.0,0.0,9624.0,798018.2296,201279.8248,3069704.401,433199.6131,363110.8723,25.09,63.9,0.0,,-9853.30726,-9853.30726,0.0,0.0
1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26535.061319999997,13142.739,6690243.833,5447307.8,0.0,0.0,0.0,0.0,0.0,0.0,9820.0,814528.5529,207924.444,3083788.7389999996,447910.6347,358119.0476,35.55,62.9,0.0,,-9754.51779,-9754.51779,0.0,0.0
2,2,2,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25855.320659999998,8446.13605,6821056.636,5471302.4,0.0,0.0,0.0,0.0,0.0,0.0,10053.0,836013.2326,224794.7478,3180516.562,518105.9111,417181.6631,27.12,64.9,0.0,,-20702.86418,-20702.86418,0.0,0.0
3,3,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27441.3822,5008.91804,6961089.887,5671443.0,0.0,0.0,0.0,0.0,0.0,0.0,10159.0,860948.4271,247717.5051,3286332.336,579584.249,441949.8759,17.76,66.1,0.0,,-24622.38172,-24622.38172,0.0,0.0
4,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28838.626889999996,4747.83345,7320770.403,5739245.0,0.0,0.0,0.0,0.0,0.0,0.0,10270.0,888990.0856,266579.4641,3339082.395,630186.9509,454803.5373,25.35,66.1,0.0,,-31052.27265,-31052.27265,0.0,0.0
5,5,5,5,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30349.161689999997,7770.916999999998,7445189.807999997,5804344.2,0.0,0.0,0.0,0.0,0.0,0.0,10378.0,920388.7648,280426.8824,3494003.483,671895.6554,463104.8579,24.35,66.0,0.0,,-10387.18095,-10387.18095,0.0,0.0
6,6,6,6,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28360.290869999997,8195.3552,7801078.4860000005,6134694.8,0.0,0.0,0.0,0.0,0.0,0.0,10492.0,951667.2378,308382.2856,3715314.541,741537.7142,492436.4974,21.77,63.8,0.0,,-5246.4812200000015,-5246.4812200000015,0.0,0.0
7,7,7,7,7,7,7,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27101.51187,6043.41408,8064835.597,6495779.6,0.0,0.0,0.0,0.0,0.0,0.0,10599.0,1002756.813,377156.0242,3853133.433,815227.1598,521332.6792,23.34,65.0,0.0,,-8343.01766,-8343.01766,0.0,0.0
8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28838.626889999996,13790.129140000001,8408696.97,6573604.0,0.0,0.0,0.0,0.0,0.0,0.0,10819.0,1096153.896,402864.0446,4064505.73,898901.8966,568005.1698,28.64,63.2,0.0,,-1663.59299,-1663.59299,0.0,0.0
9,9,9,9,9,9,9,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28309.939710000002,13278.80561,8810076.486,6680295.0,0.0,0.0,0.0,0.0,0.0,0.0,11045.0,1159308.381,433870.0624,4284395.386,1024875.8559999999,642705.8823,36.84,64.2,0.0,,1989.91929,1989.91929,0.0,0.0
10,10,10,10,10,10,10,10,10,11.862210000000001,804.91993,3336.70571,0.0,0.0,0.0,3336.70571,29077.7949,10549.859559999999,9376066.646,7248242.6,0.0,0.0,0.38555,0.29356,1.57982,0.0,11236.0,1211721.1909999999,462300.67299999995,4427927.933,1102358.5420000001,678597.6958,17.92,64.0,5324.06795,-inf,14504.62879,18658.11664,4.51714,0.0
11,11,11,11,11,11,11,11,11,10.73431,981.1778699999999,3639.7340299999996,0.0,0.0,0.0,3639.7340299999996,28360.290869999997,9219.70746,9595859.89,7092970.8,0.0,0.0,0.44637,0.32633,1.6543700000000001,0.0,11509.848,1257792.7759999998,482706.649,4644493.334,1211429.709,720352.5034,26.11,64.3,5863.98515,inf,-5349.13619,-717.4899800000003,4.5653,0.0
12,12,12,12,12,12,12,12,12,19.63733,1016.18146,4011.22292,0.0,0.0,0.0,4011.22292,50917.61055,8614.71531,9733316.363,7549773.0,0.0,0.0,0.39165,0.3382,1.62527,0.0,11759.148000000001,1360300.1519999998,521477.1118,4806806.899,1359361.033,782372.3394,21.96,63.3,6465.27217,inf,-20970.09888,-15923.057169999998,4.6994099999999985,0.0
13,13,13,13,13,13,13,13,13,53.34815,1136.16803,4695.191470000002,0.0,0.0,0.0,4695.191470000002,97216.0,17662.505119999998,9559534.674,7509091.8,0.0,0.0,0.4237,0.358,1.73102,0.0,12019.543,1485796.02,564711.8305,5226446.2760000015,1413416.3080000004,794777.3216,24.11,62.9,7483.05931,inf,-3298.55647,2586.151180000002,4.8781,0.0
